idx1,idx2,EMED,FGTED,Group,(EMED - FGTED),sum Diameter,corrected
42,46,122.37,82.23371499999999,4.0,40.136285000000015,177.2,116.65626688062535
42,47,139.82,105.76303,4.0,34.05696999999999,141.01,129.37911303238707
42,48,116.47,75.59306,4.0,40.876940000000005,178.13,110.29331334591582
42,49,112.13,79.641503,4.0,32.488496999999995,181.67,115.39881353637627
43,44,116.07,81.34633600000001,4.0,34.723663999999985,175.38,115.22542909908923
43,45,130.94,82.896715,4.0,48.043285,205.35,125.72496177086877
43,46,129.45,72.897015,4.0,56.55298499999999,214.04,118.32012815084089
43,47,124.61,86.50229900000001,4.0,38.10770099999999,177.85,121.11894330260257
43,48,111.5,63.15464299999999,4.0,48.34535700000001,214.97,108.85545761613135
43,49,113.99,69.068767,4.0,44.921233,218.51,115.82663880659179
44,45,104.0,74.073068,4.0,29.926931999999994,177.41,108.55832666311032
44,46,110.94,71.898003,4.0,39.041996999999995,186.1,108.97812804308244
44,47,118.61,92.779274,4.0,25.830726,149.91,119.05293019484411
44,48,125.58,74.001116,4.0,51.578884,187.03,111.35894250837289
44,49,130.1,83.049305,4.0,47.05069499999999,190.57,121.46418869883335
45,46,114.4,64.27535,4.0,50.12465,216.07,110.304628714862
45,47,129.17,88.864315,4.0,40.30568499999998,179.88,124.08712486662368
45,48,127.41,62.977312000000005,4.0,64.43268799999998,217.0,109.28429218015246
45,49,127.11,71.580316,4.0,55.529684,220.54,118.94435337061292
46,47,128.3,82.343889,4.0,45.95611100000001,188.57,120.1615652465958
46,48,115.41,49.01797,4.0,66.39203,225.69,97.91981656012457
46,49,132.68,61.266615,4.0,71.413385,229.23,111.22551875058501
47,48,137.47,78.822998,4.0,58.647002,189.5,116.91837571188624
47,49,130.29,79.52789200000001,4.0,50.762107999999984,193.04,118.68032690234672
48,49,111.88,51.844525999999995,4.0,60.035474,230.16,102.08113121587549
0,1,90.28,85.84200000000001,0.0,4.437999999999988,85.86,92.99008753693684
0,2,97.28,94.0,0.0,3.280000000000001,70.99,96.70785012955069
0,3,142.26,132.58,0.0,9.679999999999978,89.01,140.66868927421098
0,4,90.68,81.96,0.0,8.720000000000013,96.42,92.26134288475104
0,5,129.19,120.98333000000001,0.0,8.206669999999988,84.91,127.847743997124
0,6,111.66,104.62,0.0,7.039999999999992,88.87,112.66688475255434
0,7,120.35,104.89322,0.0,15.456779999999995,112.93,120.12451040297195
0,8,139.63,127.1125,0.0,12.517499999999998,90.6,135.67596919873978
0,9,122.21,108.41056,0.0,13.79943999999999,103.36,120.78421274401533
1,2,80.67,73.798695,0.0,6.871305000000007,152.47,100.83677673370816
1,3,93.8,75.585521,0.0,18.214478999999997,170.49,108.00444187836841
1,4,64.19,53.478616,0.0,10.711383999999995,177.9,88.11019048890851
1,5,106.59,88.291664,0.0,18.298336000000006,166.39,119.48630960128143
1,6,93.38,68.975173,0.0,24.404826999999997,170.35,101.35228935671178
1,7,87.49,63.611498000000005,0.0,23.87850199999999,194.41,103.17302000712942
1,8,71.65,56.03102,0.0,15.618980000000008,172.08,88.92472080289726
1,9,96.14,71.657987,0.0,24.482012999999995,184.84,108.36187134817278
2,3,124.34,99.466134,0.0,24.873866000000007,155.62,127.44481747098227
2,4,75.27,61.334120000000006,0.0,13.93587999999999,163.03,91.52545708152239
2,5,98.3,86.494692,0.0,11.805307999999997,151.52,113.24910019389533
2,6,61.0,48.99,0.0,12.009999999999998,155.48,76.92687894932565
2,7,70.24,55.706132,0.0,14.533867999999998,179.54,90.82741659974329
2,8,112.26,91.35158100000001,0.0,20.908418999999995,157.21,119.80504439551116
2,9,73.35,55.614805,0.0,17.735194999999997,169.97,87.87845194078666
3,4,92.28,81.94332899999999,0.0,10.33667100000001,181.05,117.51550522618264
3,5,108.18,93.845052,0.0,14.334948000000011,169.54,125.98029933855558
3,6,119.96,96.502724,0.0,23.457275999999993,173.5,129.82044209398595
